涨	x	1
跌	x	-1
牛	x	1
熊	x	-1
好	x	1
差	x	-1
不好	x	-1
个涨停	319985	1	
回落	314095	-1	
涨停板	311929	1	
同比增长	308042	1	
完善	307357	1	
跌破	306370	-1	
损失	304971	-1	
清仓	303984	-1	
下滑	303908	-1	
热点	300116	1	
科学	298528	1	
领先	298118	1	
期待	297513	1	
借壳	290060	1	
带动	285737	1	
高位	283700	-1	
后悔	283557	-1	
加速	281338	1	
贡献	279510	1	
经验	277740	1	
先进	276877	1	
看好	274113	1	
改造	273106	1	
扩张	272120	1	
跳水	271632	-1	
把握	270595	1	
结合	270136	1	
升级	264557	1	
低吸	264260	1	
牛市	262238	1	
庄托	260171	-1	
做空	259597	-1	
缺口	258885	-1	
资产注入	250687	1	
定向增发	248855	-1	
翻倍	246153	1	
套牢	241636	-1	
唱空	239573	-1	
出逃	237112	-1	
顺利	235842	1	
游资	235641	-1	
逢低	234867	1	
回调	234624	1	
大利好	234212	1	
高送	225523	1	
同比增	223867	1	
狗庄	220076	-1	
超跌	219899	-1	
满足	217952	1	
推广	213411	1	
翻番	212643	1	
减仓	211095	-1	
金融危机	208932	-1	
砸盘	203390	-1	
垄断	202150	1	
高送转	199720	1	
盈利能力	199628	1	
喜欢	198339	1	
冲击	196528	-1	
巴菲特	196328	1	
增持	195870	1	
最高	191341	1	
有利于	188414	1	
恐慌	187185	-1	
踏空	187113	-1	
冲高	184189	1	
卖掉	183882	-1	
海外	183690	1	
大牛股	182021	1	
取得	180246	1	
升值	179957	1	
担心	176623	-1	
释放	175604	1	
污染	174947	-1	
增长率	168660	1	
失败	167208	-1	
阳光	166386	1	
最佳	166248	1	
绿色	166036	1	
业绩增长	165916	1	
落后	165834	-1	
乐观	165475	1	
追高	163433	1	
活跃	160393	1	
精神	159963	1	
补仓	159934	1	
补涨	158404	1	
优化	157992	1	
大宗	156957	1	
创新高	155850	1	
错过	155754	-1	
放弃	155461	-1	
拉高出货	155395	-1	
重大利好	155164	1	
可怜	155108	-1	
垃圾股	154986	-1	
危险	153704	-1	
效率	153181	1	
远离	153041	-1	
飙升	151214	1	
享受	150411	1	
空头	150372	-1	
合并	150116	1	
强劲	149392	1	
压盘	149271	-1	
困难	149060	-1	
摘帽	147613	1	
阳线	147485	1	
大幅下	147218	-1	
平稳	146676	1	
拉动	140115	1	
重仓	139955	1	
稳步	139410	1	
低开	138241	-1	
激励	138170	1	
泡沫	137815	-1	
下游	137358	-1	
增值	137000	1	
他妈	135859	-1	
连续涨停	135637	1	
稳健	135539	1	
虚假	134348	-1	
手段	134267	-1	
异常	134236	-1	
补跌	133904	-1	
高成长	133720	1	
业绩增	133289	1	
破位	133088	-1	
特色	130865	1	
回归	130639	-1	
阴线	130511	-1	
低迷	128954	-1	
抛售	128778	-1	
受益于	128455	1	
攻击	127615	-1	
地震	127137	-1	
节能减排	124167	1	
折腾	123016	-1	
紧张	122957	-1	
超预期	121150	1	
拉涨停	120722	1	
破发	120550	-1	
利润增长	118766	1	
胜利	117868	1	
机遇	117469	1	
挂牌	115857	1	
打击	115689	-1	
净流入	115291	1	
郁闷	114989	-1	
圈钱	114799	-1	
补偿	114262	-1	
跌停板	114096	-1	
可惜	113869	-1	
抓住	112241	1	
高抛	110839	-1	
可靠	110337	1	
弱势	110266	-1	
可持续	109407	1	
高新	109310	1	
兴业	108709	1	
经济增长	108051	1	
探底	107677	1	
傻子	106925	-1	
红利	106717	1	
较强	106371	1	
控盘	104719	-1	
稀缺	104626	1	
聪明	104090	1	
优先	103335	1	
空仓	102969	-1	
大宗交易	102117	1	
明天涨停	102044	1	
利润增	100077	1	
骂人	99640	-1	
套住	99542	-1	
严重低估	99256	1	
病毒	99093	-1	
高抛低吸	98753	1	
逃命	95016	-1	
跳空	94079	-1	
骗子	93834	-1	
阻力	92718	-1	
过剩	92622	-1	
抛出	91814	-1	
将迎来	91594	1	
快速发展	91362	1	
救市	90451	1	
亮点	89704	1	
错误	89550	-1	
傻逼	89509	-1	
赢利	89220	1	
优良	88540	1	
新技术	88434	1	
收获	88429	1	
恭喜	88162	1	
老鼠	88086	-1	
大幅提	87182	1	
反对	84807	-1	
逆势	84581	1	
扭亏	84249	1	
止损	84109	1	
快速增长	83640	1	
预增	83440	1	
滞涨	82635	1	
违规	82452	-1	
行业龙头	81686	1	
阴跌	81490	-1	
淘汰	80057	-1	
个跌停	79943	-1	
小盘绩优	79826	1	
亏钱	79425	-1	
误导	79262	-1	
个涨停板	79242	1	
敢买	79040	1	
上涨空间	78763	1	
回暖	77797	1	
烂股	77479	-1	
回购	76655	1	
抢进	76597	1	
福田	76139	1	
主力出货	75890	-1	
完美	75828	1	
这个垃圾	75807	-1	
在低位	75617	-1	
白痴	75545	-1	
阴谋	75399	-1	
自主创新	75095	1	
质疑	74965	-1	
续上涨	74690	1	
紧急	74173	-1	
遭遇	74159	-1	
转增	74128	1	
害人	73996	-1	
利好消息	73825	1	
上扬	73723	1	
挣钱	73513	1	
锁仓	72821	1	
可怕	72041	-1	
娱乐	72024	1	
恶意	71963	-1	
恶心	71729	-1	
井喷	71199	1	
骗人	71192	-1	
缓解	70383	1	
摊薄	69757	-1	
洗出去	69503	-1	
跑路	69479	-1	
做大做强	69362	1	
杀跌	69224	1	
借壳上市	68929	1	
恐惧	68812	-1	
他妈的	68172	-1	
高效	68150	1	
买单	67825	1	
造假	67477	-1	
离场	67357	-1	
好消息	67348	1	
赔钱	66801	-1	
悲哀	66560	-1	
跌下来	66403	-1	
金叉	66130	1	
止跌	66114	1	
无奈	65138	-1	
追涨	65084	1	
大胆买	64679	1	
回升	64616	1	
倒闭	64476	-1	
暴露	64177	-1	
大幅上涨	64050	1	
没戏	63745	-1	
明朗	63737	1	
害怕	63725	-1	
剥离	63491	-1	
做梦	62844	-1	
违法	62799	-1	
旺季	62798	1	
满意	62782	1	
担忧	62634	-1	
崛起	62613	1	
这么好的	62556	1	
幸福	62540	1	
起飞	62302	1	
撤退	62089	-1	
没想到	61877	-1	
恶庄	60970	-1	
崩盘	60754	-1	
坚决买	59938	1	
发展空间	59909	1	
翻红	59841	1	
萎缩	59801	-1	
人气	59735	1	
折磨	59538	-1	
精彩	58402	1	
辉煌	58296	1	
快逃	58295	-1	
站稳	57670	1	
负面	57618	-1	
受不了	57596	-1	
祝贺	57490	1	
巨亏	57391	-1	
承受	57260	-1	
抛弃	57235	-1	
痛苦	57077	-1	
老鼠仓	56387	-1	
涉嫌	56180	-1	
套死	55828	-1	
放松	55631	1	
获利盘	55433	1	
陷入	55204	-1	
完蛋	55184	-1	
大幅增长	55056	1	
不断提	54720	1	
敏感	54295	-1	
全仓买	54272	1	
增厚	54053	1	
佩服	53855	1	
创新低	53728	-1	
死亡	53163	-1	
无耻	52996	-1	
傻瓜	52861	-1	
深套	52849	-1	
在高位	52818	1	
净利润增	52740	1	
坚信	52690	1	
是最好的	52407	1	
挖坑	52040	-1	
腾飞	51976	1	
投资机会	51856	1	
奇迹	51809	1	
下跌空间	51609	-1	
强烈推荐	51602	1	
庄稼	51515	-1	
诱空	51435	-1	
成果	51285	1	
规避	51241	-1	
上升空间	51037	1	
悲观	50684	-1	
热情	50615	1	
促使	50575	1	
远高于	50163	1	
经济复苏	49829	1	
高速增长	49324	1	
越跌越	49281	-1	
逃跑	48917	-1	
明天跌停	48809	-1	
业绩预增	48073	1	
续下跌	47978	-1	
逼空	47335	-1	
呼吁	47042	-1	
逢低买	46204	1	
争取	45825	1	
套牢盘	45587	-1	
损害	44772	-1	
绝望	44758	-1	
特大利好	44423	1	
贬值	44373	-1	
大幅下跌	44090	-1	
继续保持	43896	1	
产能过剩	43213	-1	
意打压	43105	-1	
跑赢	42366	1	
下挫	41316	-1	
连阴	41187	-1	
加快推进	41067	1	
赢得	40988	1	
充分发挥	40983	1	
拖累	40775	-1	
快抢	40774	1	
上升趋势	40724	1	
健全	40254	1	
行业景气	40166	1	
恐怖	40141	-1	
高开低走	39987	-1	
封涨停	39766	-1	
欺骗	39560	-1	
大盘下跌	39419	-1	
攀升	39290	1	
爆炒	39094	1	
还要跌	39069	-1	
科技创新	38352	1	
支撑位	38260	1	
最好	37291	1	
反弹行情	37090	1	
妖股	36735	-1	
处罚	36553	-1	
撤离	36176	-1	
压力位	36166	-1	
腰斩	36073	-1	
大盘反弹	36015	1	
抛单	35427	-1	
买回来	35093	1	
走强	35091	1	
抛掉	35033	-1	
做多	34905	1	
大卖单	34630	-1	
龙虎榜	34515	1	
下降通道	34328	-1	
下午涨停	33514	1	
打压股价	32948	-1	
跌倒	32714	-1	
伤心	32655	-1	
大盘暴跌	32469	-1	
维稳	32386	1	
狗屎	32293	-1	
大幅提高	32066	1	
庄家出货	32048	-1	
神奇	31951	1	
股东减持	31525	-1	
艰难	31461	-1	
持续增长	31108	1	
可悲	31088	-1	
明天低开	30065	-1	
慢牛	29804	-1	
进一步提升	29693	1	
贪婪	29641	-1	
坏账	29638	-1	
超跌反弹	29601	1	
翻身	29279	1	
一路下	29041	-1	
追进	29011	1	
今天涨停	28956	1	
不要脸	28938	-1	
积极推进	28634	1	
破产重整	28510	-1	
大股东增持	28350	1	
愚蠢	27960	-1	
兴奋	27953	1	
气死	27950	-1	
黑暗	27948	-1	
大手笔	27931	1	
傻庄	27930	-1	
全方位	27747	1	
抵抗	27707	-1	
悲剧	27660	-1	
大幅拉升	27635	1	
恶化	27455	-1	
越跌越买	27442	1	
今天跌停	27394	-1	
继续持有	27354	1	
被低估	27319	1	
天涨停	27234	1	
严重超跌	27220	1	
是庄托	27149	-1	
上影线	26637	-1	
胆小	26589	-1	
散户太多	26498	-1	
进一步提高	26439	1	
牛逼	26083	1	
违约	26080	-1	
连续跌停	26077	-1	
业绩大增	25943	1	
满仓买	25588	1	
打压吸	25582	-1	
疲软	25481	-1	
重组失败	25147	-1	
补缺口	24815	1	
耐心持	24811	1	
大阳线	24623	1	
触底	24604	1	
伤害	24582	-1	
天跌停	24568	-1	
抢反弹	24480	1	
利空出尽	24324	1	
冷清	24235	-1	
低谷	24232	1	
大鳄	24231	1	
就是庄家	24178	-1	
遏制	24150	-1	
稀缺资源	24128	1	
一字涨停	24123	1	
阻力位	23828	-1	
造谣	23824	-1	
耐心持有	23793	1	
赶紧跑	23788	-1	
重大利空	23779	-1	
风险提示	23448	-1	
跳空缺口	23430	-1	
遗憾	23339	-1	
翻翻	23123	1	
折旧	22982	-1	
恶劣	22804	-1	
良好的	22692	1	
失误	22667	-1	
廉价筹码	22387	1	
拉上去	22386	1	
减值	22376	-1	
业绩下滑	22283	-1	
涨上去	22231	1	
下跌趋势	22210	-1	
策扶持	22096	1	
追捧	22091	1	
弱智	22020	-1	
太差	21958	-1	
股价翻	21406	1	
狂跌	21256	-1	
超跌低价	21253	-1	
利空消息	21246	-1	
复合增	21240	1	
大股东减持	21165	-1	
最大受益	21116	1	
涨起来	21038	1	
大阴线	20984	-1	
更好	20944	1	
成本优势	20940	1	
不敢买	20918	-1	
倒数第	20843	-1	
被骗	20842	-1	
忍受	20841	-1	
绩优股	20776	1	
淡季	20705	-1	
几个涨停	20688	1	
最低估	20684	1	
警惕	20672	-1	
大利空	20462	-1	
骗散户	20452	-1	
陷阱	20421	-1	
急拉	20359	1	
股价上涨	20354	1	
上不去	20201	-1	
要大跌	20148	-1	
退市风险	20055	-1	
二次探底	20046	-1	
避险	19997	1	
借利好	19950	1	
稳定增长	19924	1	
跌的时候	19804	-1	
流氓	19799	-1	
激活	19764	1	
估值优势	19663	1	
危害	19566	-1	
尾盘拉升	19303	1	
破位下	19281	-1	
三个涨停	19240	1	
有种跌停	19222	-1	
转增股本	19190	-1	
跌下去	19077	-1	
连续上涨	19070	1	
淘汰落后	19044	-1	
全仓买入	18236	1	
割肉走	18170	-1	
赶紧卖	18083	-1	
持仓	18065	1	
上涨行情	18004	1	
有信心	17969	1	
困扰	17886	-1	
大牛市	17788	1	
继续下跌	17758	-1	
个跌停板	17747	-1	
急跌	17640	-1	
大家快跑	17499	-1	
逢低买入	17493	1	
上涨趋势	17413	1	
被忽悠	17390	-1	
赚到钱	17357	1	
放屁	17180	-1	
两个涨停	17170	1	
快卖	17109	-1	
坚挺	17022	1	
领跑	16916	1	
缺德	16736	-1	
资金投入	16703	1	
贱卖	16679	-1	
连续下跌	16543	-1	
高开高走	16534	1	
业绩暴增	16404	1	
放量下跌	16169	-1	
傻比	16029	-1	
具有较强	15836	1	
难受	15802	-1	
大单买	15745	1	
能翻	15646	1	
低位买	15473	1	
低开低走	15272	-1	
年亏损	15270	-1	
恐慌性	15088	-1	
跌跌不休	15045	-1	
蛋糕	15021	1	
暴利	15015	1	
最先进	15008	1	
快速拉升	14820	1	
这么好	14790	1	
放量滞涨	14757	1	
死庄	14275	-1	
大的利好	14270	1	
虚假陈述	14193	-1	
大单买入	14192	1	
持股待涨	14138	1	
超低价	14128	1	
大胆买入	14105	1	
赚钱效应	14029	1	
轻仓	14021	-1	
坚决买入	13930	1	
抢购	13886	1	
坚定不移	13886	1	
尴尬	13808	-1	
忽悠散户	13803	-1	
欣赏	13739	1	
规模扩	13687	1	
惨烈	13473	-1	
调仓换股	13449	-1	
大盘大涨	13449	1	
飙涨	13415	1	
太弱	13377	-1	
强强联	13361	1	
领头羊	13315	1	
做长线	13304	1	
恐慌盘	13296	-1	
大举买入	13226	1	
狡猾	13160	-1	
喊空	13138	-1	
次反弹	13095	1	
牛散	13013	1	
保持稳定	12933	1	
错失	12889	-1	
长阴	12800	-1	
精英	12730	1	
为什么不涨	12709	-1	
市场热点	12688	1	
全仓进	12562	1	
被忽	12536	-1	
收入增速	12529	1	
不断提升	12480	1	
天天跌	12392	-1	
抓住机	12387	1	
如意	12384	1	
积极关注	12375	1	
快抛	12322	-1	
赢家	12302	1	
狂抛	12266	-1	
不要错过	12259	1	
瞎子	12235	-1	
隐患	12220	-1	
受灾	12087	-1	
先撤	12070	-1	
才能赚	12067	1	
支援	12017	1	
大幅降	11900	-1	
放量拉	11869	1	
暴炒	11835	1	
主力拉高	11819	1	
腾达	11809	1	
套住了	11808	-1	
逢低吸纳	11797	1	
积极推动	11785	1	
投资亮点	11777	1	
全部清仓	11775	-1	
挤压	11740	-1	
走弱	11711	-1	
一飞冲天	11694	1	
往下打	11683	-1	
大盘震荡	11679	-1	
研制成功	11631	1	
小幅上	11626	1	
害死	11579	-1	
严惩	11555	-1	
增仓	11536	1	
跌破净资产	11521	-1	
价上涨	11520	1	
策利好	11511	1	
赶快跑	11455	-1	
涨一分	11435	1	
下降趋势	11431	-1	
价格的上涨	11383	1	
跳空高开	11321	1	
尼玛	11264	-1	
次贷危机	11254	-1	
实力强	11252	1	
抓好	11231	1	
主力还在	11225	1	
底部放量	11223	1	
非常强	11187	1	
跑掉	11183	-1	
大盘跳水	11178	-1	
盈利增长	11168	1	
恶炒	11161	-1	
乱叫	11160	-1	
不堪	11125	-1	
稳步上	11112	1	
王八蛋	11085	-1	
下跌幅度	11068	-1	
狂热	11068	1	
业绩稳	11026	1	
真是垃圾	10949	-1	
混乱	10944	-1	
愤怒	10942	-1	
往上拉	10932	1	
骨干企业	10904	1	
玩死	10890	-1	
做强做大	10850	1	
业绩优良	10829	1	
眼球	10827	1	
激励对象	10803	1	
稳增长	10781	1	
熊市中	10762	-1	
热衷	10694	1	
下午跌停	10654	-1	
暴增	10652	1	
追高买	10644	1	
稳妥	10624	1	
沦为	10614	-1	
速拉升	10583	1	
狂砸	10555	1	
继续看好	10497	1	
速下跌	10491	-1	
经济衰退	10476	-1	
屠宰	10476	-1	
涨的时候	10438	1	
诅咒	10435	-1	
主力操	10429	1	
强大的	10414	1	
行业领先	10401	1	
领涨	10396	1	
资金进场	10395	1	
不妙	10395	-1	
傻逼才买	10394	-1	
股价下跌	10368	-1	
千万别买	10367	-1	
割掉	10356	-1	
杂种	10350	-1	
废话	10299	-1	
弱庄	10295	-1	
妄想	10264	-1	
主力建仓	10260	1	
次上调	10254	1	
坚决买进	10249	1	
牛市行情	10206	1	
传奇	10190	1	
最差	10181	-1	
次增持	10154	1	
现价买	10134	1	
割肉出	10115	-1	
不断创新	10108	1	
套期保值	10100	1	
洗盘结束	10067	1	
平稳增长	10062	1	
阴险	10061	-1	
跑赢大盘	10053	1	
快速成长	10032	1	
脑残	10031	-1	
不用担心	10029	1	
强有力的	10023	1	
笨蛋	10023	-1	
